DRIO,8.18
DRMA,2.98
DRQ,5.04
DRRX,1.41
DRS,5.91
DRTS,0.34
DRTT,0.65
DRUG,3.43
DRVN,5.37
DSAQ,0.03
DSEY,10.02
DSGN,15.26
DSGR,0.32
DSGX,0.55
DSKE,2.8
DSP,4.73
DSS,0.32
DSX,2.07
DT,4.36
DTC,21.75
DTE,0.92
DTIL,1.3
DTM,2.55
DTOC,0.09
DTSS,0.34
DTST,2.06
DUET,0.03
DUK,1.13
DUNE,0.25
DUOL,7.9
DUOT,2.61
DV,4.92
DVA,3.45
DVAX,14.1
DVN,2.17
DWAC,8.25
DWSN,0.06
DX,4.01
DXC,3.03
DXCM,3.13
DXLG,5.32
DXPE,3.26
DXR,1.04
DXYN,0.38
DY,6.72
DYAI,2.18
DYN,8.53
DYNT,0.06
DZSI,3.23
EA,1.36
EAC,0.01
EAF,2.42
EAR,10.28
EARN,1.32
EAST,0.95
EAT,13.93
EB,15.73
EBAY,2.79
EBC,1.37
EBET,1.48
EBF,2.43
EBIX,20.37
EBMT,0.16
EBON,4.27
EBS,14.43
EBTC,0.44
ECBK,0.3
ECL,0.64
ECOR,2.12
ECPG,11.11
ECVT,1.35
ECX,0.06
ED,2.58
EDBL,8.48
EDIT,29.03
EDR,4.28
EDRY,0.9
EDSA,5.64
EDTK,0.76
EDTX,1.03
EDUC,0.1
EE,3.87
EEFT,3.44
EEIQ,0.37
EEX,0.23
EFC,5.73
EFHT,0.01
EFOI,1.07
EFSC,1.48
EFSH,3.03
EFTR,0.33
EFX,3.49
EFXT,0.79
EGAN,0.96
EGBN,4.08
EGGF,0.08
EGHT,16.21
EGIO,1.54
EGLE,9.05
EGLX,0.82
EGO,2.65
EGP,1.68
EGRX,6.63
EGY,5.34
EHAB,5.67
EHC,2.19
EHTH,2.96
EIG,1.14
EIGR,6.93
EIX,2.37
EJH,1.55
EKSO,0.35
EL,1.25
ELA,1.9
ELAN,3.88
ELBM,1.76
ELDN,0.12
ELEV,0.61
ELF,3.48
ELMD,0.56
ELME,2.27
ELOX,10.17
ELS,1.68
ELTK,0.36
ELV,0.69
ELVN,3.83
ELYM,0.08
ELYS,3.23
EMAN,3.73
EMBC,6.52
EMBK,5.08
EMCG,0.04
EME,2.5
EMKR,0.6
EML,0.81
EMLD,0.05
EMN,1.65
EMR,0.91
EMX,0.02
ENB,2.06
ENCP,0.04
ENER,0.04
ENFN,4.34
ENG,0.28
